id	text
doc26	Brown has been noted for his close relationship with many of Ontario's diverse ethnic communities.[15] He has spoken in the Legislature in support of a motion condemning Islamophobia,[16][17] and was one of the first Canadian politicians to refer to the Tamil Genocide.[18] Brown has a personal relationship with Indian Prime Minister Narendra Modi, who refers to him as "Patrick Bhai" meaning brother and named him an honorary citizen of Gujarat.[19][20]
doc27	His critics have called him "policy-lite" since he made no policy statements during the Progressive Conservative leadership campaign.[21] Since winning the leadership race, he has focused his plan on four main issues which he suggests will lead to a more prosperous province: less red tape, improved transportation corridors, affordable energy, and addressing Ontario's growing skills gap.[22]
doc28	Brown's shift of the party to the political centre stands in contrast to his time as an MP where Brown had a socially conservative voting record.[23][24][25] As an MP, Brown voted to re-open the same-sex marriage and abortion debates, as well as voted against legalizing euthanasia and including gender expression in the Human Rights Act. He said those votes were to represent his constituents.[26][27] Brown said that he doesn't intend to revisit any of these issues in the provincial Legislature.[28][29]
doc29	Brown was elected to the Barrie City Council in 2000 at age 22, and was re-elected in 2003.[5]
doc30	Brown served on various Committees, including the Budget Committee. Brown's primary focus while on council was health care, despite it being a provincial responsibility. In response to a shortage of doctors, Brown founded the Physician Recruitment Task Force with the Royal Victoria Hospital to help attract more doctors to Barrie.[30]
doc31	In the 2004 federal election, Brown ran as the Conservative Party candidate in the riding of Barrie. He lost to incumbent Aileen Carroll by 1,295 votes.[31] Brown ran again in 2006, this time defeating Carroll by 1,523 votes.[32] He was re-elected in the 2008 election by 15,295 votes over Liberal candidate Rick Jones.[33]
doc32	In November 2010, the Canadian Taxpayers Federation expressed concern about how Patrick Brown used his Canadian House of Commons account. He sent flyers to his riding which included a letter of support and a flyer from Barrie City Councillor Michael Prowse. Brown used his House of Commons account to pay for the mailing because Michael Prowse could not afford to send the flyer out himself.[34]
doc33	In the 2011 election, Brown was elected to his third term in office.[35]
doc34	On September 28, 2014, he announced his intention to run in the 2015 Ontario party leadership election. He registered as a leadership candidate on November 20, 2014. He said that, unlike the other candidates, he was not involved in the four consecutive losses that have kept the Ontario PCs out of power since 2003.[36] At the time of his jump to provincial politics, he chaired the Conservative Party of Canada's Greater Toronto Area caucus and the Canada-India Parliamentary Association.[5]
doc35	In September 2014, Brown announced his intention to run in the contest to replace PC Party Leader, Tim Hudak. From the outset of his campaign, Brown positioned himself as an outsider, challenging the leadership of the PC Party, which had been defeated in the last four provincial elections. In the most recent election campaign, in 2014, the party election platform included a commitment to cut 100,000 public service jobs over 4 years through attrition.[37] As the only one of the original five leadership candidates who was not a member of the Ontario legislature, Brown was not involved in the promise, which he considered ill-advised,[36][38] [39] Brown's rivals attempted to use this same lack of previous involvement in provincial politics as an argument against his leadership bid.[40][41]
doc36	In March, Brown emerged as the front-runner in the leadership election, having sold over 40,000 of the 70,000 memberships in the party.[42][43][44][45] During the campaign, Brown was successful in bringing many new members to the party, many of whom came from ethnic communities.[46] The past four leadership contests had been won by those who sold the most memberships.[47]
doc37	Brown was endorsed by the Campaign Life Coalition and the Ontario Landowners Association.[48][49] During Brown's leadership bid both special interest groups actively supported him by selling Ontario PC Party memberships amongst their members.[50][51]
doc38	Brown was criticized by his main rival, Christine Elliott, for not resigning his federal seat during the leadership campaign.[52] Brown was absent from the House of Commons for some votes during the leadership campaign, attending 56% of the votes from September to December in 2014. However, his overall attendance for votes in 2014 was 83%. [53] A spokesperson for Prime Minister Stephen Harper confirmed that members are not expected to step down but are expected to "continue to fulfill their parliamentary responsibilities, including membership on committees and attendance at votes."[54]
doc39	The campaign started with five candidates including Vic Fedeli, Lisa MacLeod, and Monte McNaughton. All three withdrew in early 2015 citing membership recruitment or financial reasons. On May 9, 2015, Brown was elected leader, defeating his only remaining opponent, Christine Elliott, winning with 61.8% of the membership vote.[55][56]
doc40	Brown, who resigned his seat in the House of Commons on May 13, 2015, days after winning the provincial leadership, led the Progressive Conservative party from outside the legislature during most of the summer.[57] On July 22, 2015, Garfield Dunlop agreed to step down as MPP for Simcoe North on August 1 in order to open up a seat for Brown. A provincial by-election, called for September 3, 2015, was won by Brown.[58][59][60]
doc41	Under his leadership, the Ontario PC Party has won five by-elections, including two seats which had been previously held by the governing Liberals - Sault Ste. Marie and Scarborough-Rouge River.[61]
doc42	"Fishin' in the Dark" is a song written by Wendy Waldman and Jim Photoglo and recorded by American country music group The Nitty Gritty Dirt Band. It was released in June 1987 as the second single from their album Hold On.[1] It reached number-one on the U.S. and Canadian country charts. It was the band's third number-one single on the U.S. country music charts and the second in Canada. After it became available for download, it has sold over a million digital copies by 2015.[2] It was certified Platinum by the RIAA on September 12, 2014.[3]
doc43	The premise of the song is a couple contemplating a late-night fishing expedition. Specifically, the adventurers plan to make their way to an undisclosed river and chart constellations during an evening in which a full moon is present. Furthermore, the tentative date for this excursion is set in the late spring to early summer.
doc44	The music video was directed by Bill Young and features the band playing in front of a live audience.
doc45	*sales figures based on certification alone ^shipments figures based on certification alone
doc46	In Tolkien's mythology, the Three Rings are magical artifacts forged by the Elves of Eregion. After the One Ring, they are the most powerful of the twenty Rings of Power.[1]
doc47	The Three Rings were made by Celebrimbor after Sauron, in the guise of Annatar, had left Eregion. These were free of Sauron's influence, as he did not have a hand in their making. However, they were still forged by Celebrimbor with the arts taught to him by Sauron and thus were still bound to the One Ring. Upon perceiving Sauron's intent, the Elves hid the three from him. They were carried out of Middle-earth at the end of the Third Age, after the destruction of the One Ring.
doc48	The first ring, Narya, was adorned with a red gemstone, perhaps a ruby. It is seen in the final chapter of The Lord of the Rings, along with the other two Elven rings. But unlike them, it is not said what metal Narya was made of.
doc49	The name is derived from the Quenya nÃ¡r meaning fire. It was also called Narya the Great, Ring of Fire, Red Ring, and The Kindler.
doc50	According to Unfinished Tales, at the start of the War of the Elves and Sauron, Celebrimbor gave Narya together with the Ring Vilya to Gil-galad, High King of the Noldor. Gil-galad entrusted Narya to his lieutenant Círdan, Lord of the Havens of Mithlond, who kept it after Gil-galad's death. According to The Lord of the Rings, Gil-galad received only Vilya, while Círdan received Narya from the very beginning along with Galadriel receiving Nenya from the start.
doc51	In the Third Age, CÃ­rdan, recognizing Gandalf's true nature as one of the Maiar from Valinor, gave him the ring to aid him in his labours. It is described as having the power to inspire others to resist tyranny, domination, and despair (in other words, evoking hope in others around the wielder), as well as giving resistance to the weariness of time.
doc52	The second ring, Nenya, was made of mithril and adorned with a "white stone", presumably a diamond.[2] The name is derived from the Quenya nÃ©n meaning water. It is also called Ring of Adamant, Ring of Water and the White Ring.
doc53	The ring was wielded by Galadriel of Lothlórien, and possessed a radiance that matched that of the stars; while Frodo Baggins could see it by virtue of being a Ring-bearer, Samwise Gamgee tells Galadriel he only "saw a star through your fingers". (This appears in many editions as "finger"—which sounds more magical, since it suggests that her finger has somehow become transparent—but The Treason of Isengard, ch. 13, note 34, mentions it as an error.)
doc54	Nenya's power gave preservation, protection, and possibly concealment from evil because "there is a secret power here that holds evil from the land". However, the fact that Orcs from Moria entered L贸rien after The Fellowship of the Ring and L贸rien itself had suffered previous attacks from Sauron's Orcs sent from Dol Guldur suggests the power of the ring did not constitute military prowess. It was said that, protected as it was by Nenya, Lothl贸rien would not have fallen unless Sauron had personally come to attack it. Galadriel used these powers to create and sustain Lothl贸rien, but it also increased in her the longing for the Sea and her desire to return to the Undying Lands.
doc55	With the ring gone, the magic and beauty of Lórien also faded along with the extraordinary mallorn trees (save the one that Samwise Gamgee grew in Hobbiton) and it was gradually depopulated, until by the time Arwen came there to die in F.A. 121 it was deserted and in ruin.
doc56	The third ring, Vilya, was made of gold and adorned with a "great blue stone", probably a sapphire. The name is derived from the Quenya vilya meaning air. It is also called, Ring of Air, Ring of Firmament, or Blue Ring.
doc57	It is generally considered that Vilya was the mightiest of these three bands (as mentioned in the ending chapter in The Return of the King). The exact power of Vilya is not mentioned. However, it is reasonable to speculate that it also possesses the power to heal and to preserve (it is mentioned in The Silmarillion that Celebrimbor had forged the Three in order to heal and to preserve, rather than to enhance the strengths of each individual bearer as the Seven, Nine, and the lesser rings did). Its power of healing may be particularly strong, as Elrond seems to be the greatest healer in Middle-Earth at the time of the Quest.[3] There is some speculation that the ring controlled minor elements, considering the event where Elrond had summoned a torrent of water as the Nazgûl attempted to capture Frodo and the One Ring.
doc58	When Sauron laid waste to Eregion, Vilya was sent to the Elven-king Gil-galad far away in Lindon, where it was later given to Elrond, who bore it through the later years of the Second Age and all of the Third. As Gil-galad was the High King of the Noldor elves at the time of the rings' distribution it was thought that he was best fit to care for the most powerful of the three Elven rings.
doc59	Panning is the distribution of a sound signal (either monaural or stereophonic pairs) into a new stereo or multi-channel sound field determined by a pan control setting. A typical physical recording console has a pan control for each incoming source channel. A pan control or pan pot (short for "panoramic potentiometer") is an analog knob or slider with a position indicator which can range continuously from the 8 o'clock when fully left to the 4 o'clock position fully right. Audio mixing software replaces pan pots with on-screen virtual knobs or sliders which function identically to the physical counterparts.
doc60	A pan pot has an internal architecture which determines how much of a source signal is sent to the left and right buses. "Pan pots split audio signals into left and right channels, each equipped with its own discrete gain (volume) control."[1] This signal distribution is often called a taper or law.
doc61	When centered (at 12 o'clock), the law can be designed to send −3, −4.5 or −6 decibels (dB) equally to each bus. "Signal passes through both the channels at an equal volume while the pan pot points directly north."[1] If the two output buses are later recombined into a monaural signal, then a pan law of -6 dB is desirable. If the two output buses are to remain stereo then a law of -3 dB is desirable. A law of −4.5 dB at center is a compromise between the two. A pan control fully rotated to one side results in the source being sent at full strength (0 dB) to one bus (either the left or right channel) and zero strength (−∞ dB) to the other. Regardless of the pan setting, the overall sound power level remains (or appears to remain) constant.[2] Because of the phantom center phenomenon, sound panned to the center position is perceived as coming from between the left and right speakers, but not in the center unless listened to with headphones, because of head-related transfer function HRTF.[citation needed]
doc62	Panning in audio borrows its name from panning action in moving image technology. An audio pan pot can be used in a mix to create the impression that a source is moving from one side of the soundstage to the other, although ideally there would be timing (including phase and Doppler effects), filtering and reverberation differences present for a more complete picture of apparent movement within a defined space. Simple analog pan controls only change relative level; they don't add reverb to replace direct signal, phase changes, modify the spectrum, or change delay timing. "Tracks thus seem to move in the direction that [one] point[s] the pan pots on a mixer, even though [one] actually attenuate[s] those tracks on the opposite side of the horizontal plane."[3]
doc63	Panning can also be used in an audio mixer to reduce or reverse the stereo width of a stereo signal. For instance, the left and right channels of a stereo source can be panned straight up, that is sent equally to both the left output and the right output of the mixer, creating a dual mono signal.[citation needed]
doc64	An early panning process was used in the development of Fantasound, an early pioneering stereophonic sound reproduction system for Fantasia (1940).
doc65	Before pan pots were available, "a three-way switch was used to assign the track to the left output, right output, or both (the center)".[4] Ubiquitous in the Billboard charts throughout the middle and late 1960s, clear examples include the Beatles's "Strawberry Fields Forever" and Jimi Hendrix's "Purple Haze".[5] In the Beatles's "A Day In The Life" Lennon's vocals are switched to the extreme right on the first two strophes, on the third strophe they are switched center then extreme left, and switched left on the final strophe while during the bridge McCartney's vocals are switched extreme right.[6][7]
doc66	Disparate impact in United States labor law refers to practices in employment, housing, and other areas that adversely affect one group of people of a protected characteristic more than another, even though rules applied by employers or landlords are formally neutral. Although the protected classes vary by statute, most federal civil rights laws protect based on race, color, religion, national origin, and sex as protected traits, and some laws include disability status and other traits as well.
doc67	A violation of Title VII of the 1964 Civil Rights Act may be proven by showing that an employment practice or policy has a disproportionately adverse effect on members of the protected class as compared with non-members of the protected class.[1] Therefore, the disparate impact theory under Title VII prohibits employers "from using a facially neutral employment practice that has an unjustified adverse impact on members of a protected class. A facially neutral employment practice is one that does not appear to be discriminatory on its face; rather it is one that is discriminatory in its application or effect."[2] Where a disparate impact is shown, the plaintiff can prevail without the necessity of showing intentional discrimination unless the defendant employer demonstrates that the practice or policy in question has a demonstrable relationship to the requirements of the job in question.[3] This is the "business necessity" defense.[1]
doc68	In addition to Title VII, other federal laws also have disparate impact provisions, including the Age Discrimination in Employment Act of 1967.[4] Some civil rights laws, such as Title VI of the Civil Rights Act of 1964, do not contain disparate impact provisions creating a private right of action,[5] although the federal government may still pursue disparate impact claims under these laws.[6] The U.S. Supreme Court has held that the Fair Housing Act of 1968 creates a cause of action for disparate impact.[7] Disparate impact contrasts with disparate treatment. A disparate impact is unintentional, whereas a disparate treatment is an intentional decision to treat people differently based on their race or other protected characteristics.
doc69	While disparate impact is a legal theory of liability under Title VII, adverse impact is one element of that doctrine, which measures the effect an employment practice has on a class protected by Title VII. In the Uniform Guidelines on Employee Selection Procedures, an adverse impact is defined as a "substantially different rate of selection in hiring, promotion, or other employment decision which works to the disadvantage of members of a race, sex, or ethnic group".[8] A "substantially different" rate is typically defined in government enforcement or Title VII litigation settings using the 80% Rule, statistical significance tests, and/or practical significance tests. Adverse impact is often used interchangeably with "disparate impact," which was a legal term coined in one of the most significant U.S. Supreme Court rulings on disparate or adverse impact: Griggs v. Duke Power Co., 1971. Adverse Impact does not mean that an individual in a majority group is given preference over a minority group. However, having adverse impact does mean that there is the "potential" for discrimination in the hiring process and it could warrant investigation.[9]
doc70	The 80% test was originally framed by a panel of 32 professionals (called the Technical Advisory Committee on Testing, or TACT) assembled by the State of California Fair Employment Practice Commission (FEPC) in 1971, which published the State of California Guidelines on Employee Selection Procedures in October, 1972. This was the first official government document that listed the 80% test in the context of adverse impact, and was later codified in the 1978 Uniform Guidelines on Employee Selection Procedures, a document used by the U.S. Equal Employment Opportunity Commission (EEOC), Department of Labor, and Department of Justice in Title VII enforcement.[10]
doc71	Originally, the Uniform Guidelines on Employee Selection Procedures provided a simple "80 percent" rule for determining that a company's selection system was having an "adverse impact" on a minority group. The rule was based on the rates at which job applicants were hired. For example, if XYZ Company hired 50 percent of the men applying for work in a predominantly male occupation while hiring only 20 percent of the female applicants, one could look at the ratio of those two hiring rates to judge whether there might be a discrimination problem. The ratio of 20:50 means that the rate of hiring for female applicants is only 40 percent of the rate of hiring for male applicants. That is, 20 divided by 50 equals 0.40, which is equivalent to 40 percent. Clearly, 40 percent is well below the 80 percent that was arbitrarily set as an acceptable difference in hiring rates. Therefore, in this example, XYZ Company could have been called upon to prove that there was a legitimate reason for hiring men at a rate so much higher than the rate of hiring women. Since the 1980s, courts in the U.S. have questioned the arbitrary nature of the 80 percent rule, making the rule less important than it was when the Uniform Guidelines were first published. A recent memorandum from the U.S. Equal Employment Opportunities Commission suggests that a more defensible standard would be based on comparing a company's hiring rate of a particular group with the rate that would occur if the company simply selected people at random.[11] In other words, if a company's selection system made it statistically more difficult than pure chance for a member of a certain group, such as women or African-Americans, to get a job, then this could be reasonably viewed as evidence that the selection system was systematically screening out members of that social group.
doc72	The concept of practical significance for adverse impact was first introduced by Section 4D of the Uniform Guidelines,[12] which states "Smaller differences in selection rate may nevertheless constitute adverse impact, where they are significant in both statistical and practical terms ..." Several federal court cases have applied practical significance tests to adverse impact analyses to assess the "practicality" or "stability" of the results. This is typically done by evaluating the change to the statistical significance tests after hypothetically changing focal group members selection status from "failing" to "passing" (see for example, Contreras v. City of Los Angeles (656 F.2d 1267, 9th Cir. 1981); U.S. v. Commonwealth of Virginia (569 F.2d 1300, 4th Cir. 1978); and Waisome v. Port Authority (948 F.2d 1370, 1376, 2d Cir. 1991)).
doc73	This form of discrimination occurs where an employer does not intend to discriminate; to the contrary, it occurs when identical standards or procedures are applied to everyone, despite the fact that they lead to a substantial difference in employment outcomes for the members of a particular group and they are unrelated to successful job performance. An important thing to note is that disparate impact is not, in and of itself, illegal.[13] This is because disparate impact only becomes illegal if the employer cannot justify the employment practice causing the adverse impact as a "job related for the position in question and consistent with business necessity" (called the "business necessity defense").[14]
doc74	For example, a fire department requiring applicants to carry a 100 lb (50Â kg) pack up three flights of stairs. The upper-body strength required typically has an adverse impact on women. The fire department would have to show that this requirement is necessary and job-related. This typically requires employers to conduct validation studies that address both the Uniform Guidelines and professional standards. Accordingly, a fire department could be liable for "discriminating" against female job applicants solely because it failed to prove to a court's satisfaction that the 100-pound requirement was "necessary", even though the department never intended to hinder women's ability to become firefighters.
doc75	Disparate impact is not the same as disparate treatment. Disparate treatment refers to the "intentional" discrimination of certain people groups during the hiring, promoting or placement process.
doc76	The disparate impact theory has application also in the housing context under Title VIII of the Civil Rights Act of 1968, also known as The Fair Housing Act,. The ten federal appellate courts that have addressed the issue have all determined that one may establish a Fair Housing Act violation through the disparate impact theory of liability. The U.S. Department of Housing and Urban Development's Office of Fair Housing and Equal Opportunity, the federal government which administers the Fair Housing Act, issued a proposed regulation on November 16, 2011 setting forth how HUD applies disparate impact in Fair Housing Act cases. On February 8, 2013, HUD issued its Final Rule.[15]
doc77	Until 2015, the U.S. Supreme Court had not yet determined whether the Fair Housing Act allowed for claims of disparate impact. This question reached the Supreme Court twice since 2012, first in Magner v. Gallagher and then in Township of Mount Holly v. Mount Holly Gardens Citizens. The Supreme Court seemed likely to rule that the Act does not contain a disparate impact provision, but both cases settled before the Court could issue a decision. The federal government appeared to pressure the settlement in one or both cases in an effort to preserve the disparate impact theory.[16][17][18]
doc78	On June 25, 2015, by a 5â€“4 decision in Texas Department of Housing and Community Affairs v. Inclusive Communities Project, the Supreme Court held[7] that disparate-impact claims are cognizable under the Fair Housing Act. In an opinion by Justice Kennedy, "Recognition of disparate-impact claims is also consistent with the central purpose of the FHA, which, like Title VII and the ADEA, was enacted to eradicate discriminatory practices within a sector of the Nation's economy. Suits targeting unlawful zoning laws and other housing restrictions that unfairly exclude minorities from certain neighborhoods without sufficient justification are at the heartland of disparate-impact liability...Recognition of disparate impact liability under the FHA plays an important role in uncovering discriminatory intent: it permits plaintiffs to counteract unconscious prejudices and disguised animus that escape easy classification as disparate treatment." Under the Court's ruling in Inclusive Communities, in order to prove a case of disparate impact housing discrimination, the following must occur:
doc79	The disparate impact theory of liability is controversial for several reasons. First, it labels certain unintended effects as "discriminatory", although discrimination is not an intentional act. Second, the theory is in tension with disparate treatment provisions under civil rights laws as well as the U.S. Constitution's guarantee of equal protection. For example, if the hypothetical fire department discussed above used the 100-pound requirement, that policy might disproportionately exclude female job applicants from employment. Under the 80% rule mentioned above, unsuccessful female job applicants would have a prima facie case of disparate impact "discrimination" against the department if they passed the 100-pound test at a rate less than 80% of the rate at which men passed the test. In order to avoid a lawsuit by the female job applicants, the department might refuse to hire anyone from its applicant poolâ€”in other words, the department may refuse to hire anyone because too many of the successful job applicants were male. Thus, the employer would have intentionally discriminated against the successful male job applicants because of their gender, and that likely amounts to illegal disparate treatment and a violation of the Constitution's right to equal protection. In the 2009 case Ricci v. DeStefano, the U.S. Supreme Court did rule that a fire department committed illegal disparate treatment by refusing to promote white firefighters, in an effort to avoid disparate impact liability in a potential lawsuit by black and Hispanic firefighters who disproportionately failed the required tests for promotion. Although the Court in that case did not reach the constitutional issue, Justice Scalia's concurring opinion suggested the fire department also violated the constitutional right to equal protection. Even before Ricci, lower federal courts have ruled that actions taken to avoid potential disparate impact liability violate the constitutional right to equal protection. One such case is Biondo v. City of Chicago, Illinois, from the Seventh Circuit.
doc80	In 2013, the Equal Employment Opportunity Commission (EEOC) filed a suit, EEOC v. FREEMAN,[19] against the use of typical criminal-background and credit checks during the hiring process. While admitting that there are many legitimate and race-neutral reasons for employers to screen out convicted criminals and debtors, the EEOC presented the theory that this practice is discriminatory because minorities in the U.S. are more likely to be convicted criminals with bad credit histories than white Americans. Ergo, employers should have to include criminals and debtors in their hiring. In this instance U.S. District Judge Roger Titus ruled firmly against the disparate impact theory, stating that EEOC's action had been "a theory in search of facts to support it." "By bringing actions of this nature, the EEOC has placed many employers in the "Hobson's choice" of ignoring criminal history and credit background, thus exposing themselves to potential liability for criminal and fraudulent acts committed by employees, on the one hand, or incurring the wrath of the EEOC for having utilized information deemed fundamental by most employers. Something more... must be utilized to justify a disparate impact claim based upon criminal history and credit checks. To require less, would be to condemn the use of common sense, and this is simply not what the laws of this country require."
doc81	The disparate impact theory is especially controversial under the Fair Housing Act because the Act regulates many activities relating to housing, insurance, and mortgage loansâ€”and some scholars have argued that the theory's use under the Fair Housing Act, combined with extensions of the Community Reinvestment Act, contributed to rise of sub-prime lending and the crash of the U.S. housing market and ensuing global economic recession.[20]
doc82	This Is Us is an American family drama television series created by Dan Fogelman that premiered on NBC on September 20, 2016.[1] The series stars an ensemble cast featuring Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz, Justin Hartley, Susan Kelechi Watson, Chris Sullivan, Ron Cephas Jones, Jon Huertas, Alexandra Breckenridge, Niles Fitch, Logan Shroyer, Hannah Zeile, Mackenzie Hancsicsak, Parker Bates, Lonnie Chavis, Eris Baker, and Faithe Herman. The program details the lives and families of two parents, and their three children born on the same day as their father's birthday.[1] This Is Us is filmed in Los Angeles.[2]
